name,url,tier,category,state_code,fetch_method,check_every_days,notes
NEA Grants for Arts Projects,https://www.arts.gov/grants/grants-for-arts-projects,P1_OFFICIAL,FEDERAL,,HTML,7,New guidelines expected late Dec 2026
NEA Challenge America,https://www.arts.gov/grants/challenge-america,P1_OFFICIAL,FEDERAL,,HTML,7,Applied for within GAP
NEA Our Town,https://www.arts.gov/grants/our-town,P1_OFFICIAL,FEDERAL,,HTML,7,Applied for within GAP (Design & Our Town)
NEA Research Awards,https://www.arts.gov/grants/research-awards,P1_OFFICIAL,FEDERAL,,HTML,14,
NEA State and Regional Arts Organizations directory,https://www.arts.gov/state-and-regional-arts-organizations,P1_OFFICIAL,FEDERAL,,HTML,30,Several listed agency URLs are outdated
NEA Recent Grant Search,https://grantsearch.nea.gov/,P1_OFFICIAL,FEDERAL,,MANUAL,30,robots.txt disallows automated access - use manual export only
Arts Midwest,http://www.artsmidwest.org/,P1_OFFICIAL,REGIONAL,,HTML,14,IA IL IN MI MN ND OH SD WI
Creative West (formerly WESTAF),http://creativewest.org/,P1_OFFICIAL,REGIONAL,,HTML,14,AK AZ CA CO HI ID MT NM NV OR UT WA WY
Mid-America Arts Alliance,http://www.maaa.org/,P1_OFFICIAL,REGIONAL,,HTML,14,AR KS MO NE OK TX
Mid Atlantic Arts,http://www.midatlanticarts.org/,P1_OFFICIAL,REGIONAL,,HTML,14,DC DE MD NJ NY PA VA WV
New England Foundation for the Arts,http://www.nefa.org/,P1_OFFICIAL,REGIONAL,,HTML,14,CT MA ME NH RI VT
South Arts,http://www.southarts.org/,P1_OFFICIAL,REGIONAL,,HTML,14,AL FL GA KY LA MS NC SC TN
Alaska State Council on the Arts,https://arts.alaska.gov/grants-to-organizations,P1_OFFICIAL,STATE,AK,HTML,14,
Connecticut Office of the Arts,https://portal.ct.gov/DECD/Content/Arts-and-Culture/Funding_Opportunities,P1_OFFICIAL,STATE,CT,HTML,14,
Delaware Division of the Arts,https://arts.delaware.gov/project-support,P1_OFFICIAL,STATE,DE,HTML,14,
Hawaii State Foundation on Culture and the Arts,https://sfca.hawaii.gov/grants-programs/biennium-grants/,P1_OFFICIAL,STATE,HI,HTML,14,
Maine Arts Commission,https://mainearts.maine.gov/Pages/Funding/Grants-Home,P1_OFFICIAL,STATE,ME,HTML,14,
Maryland State Arts Council,https://msac.org/programs/grants-organizations,P1_OFFICIAL,STATE,MD,HTML,14,Operating support
Montana Arts Council,https://art.mt.gov/sigguidelines,P1_OFFICIAL,STATE,MT,HTML,14,
Nebraska Arts Council,https://artscouncil.nebraska.gov/arts-project-grant,P1_OFFICIAL,STATE,NE,HTML,14,
New Hampshire State Council on the Arts,https://www.nharts.dncr.nh.gov,P1_OFFICIAL,STATE,NH,HTML,14,Homepage - locate grants page
New Mexico Arts,https://nmarts.org/grants/,P1_OFFICIAL,STATE,NM,HTML,14,
North Dakota Council on the Arts,https://www.arts.nd.gov/grants,P1_OFFICIAL,STATE,ND,HTML,14,
Rhode Island State Council on the Arts,http://www.arts.ri.gov/,P1_OFFICIAL,STATE,RI,HTML,14,Homepage - locate grants page
South Dakota Arts Council,https://artscouncil.sd.gov/grants/project.aspx,P1_OFFICIAL,STATE,SD,HTML,14,
Vermont Arts Council,https://www.vermontartscouncil.org/grants/find-a-grant/organizations/,P1_OFFICIAL,STATE,VT,HTML,14,
West Virginia Dept of Arts Culture and History,https://wvculture.org/,P1_OFFICIAL,STATE,WV,HTML,14,Homepage - locate grants page
Wyoming Arts Council,https://wyoarts.state.wy.us/wac-grant/arts-access-grant,P1_OFFICIAL,STATE,WY,HTML,14,
New York State Council on the Arts,https://arts.ny.gov/OpportunityGuidelines,P1_OFFICIAL,STATE,NY,HTML,7,
California Arts Council,https://arts.ca.gov/2026_impactprojects_guidelines,P1_OFFICIAL,STATE,CA,PDF,14,
Illinois Arts Council Agency,https://arts.illinois.gov/grants-programs/overview,P1_OFFICIAL,STATE,IL,HTML,14,
Texas Commission on the Arts,https://www.arts.texas.gov/ow/tcagrant/TXArtsPlan/ARP.htm,P1_OFFICIAL,STATE,TX,HTML,14,
DC Commission on the Arts and Humanities,https://dcarts.dc.gov/grants/fy27-projects-events-or-festivals-pef-grant,P1_OFFICIAL,STATE,DC,HTML,14,
Pennsylvania Council on the Arts,https://www.pa.gov/arts,P1_OFFICIAL,STATE,PA,HTML,14,
Florida Division of Arts and Culture,https://dos.fl.gov/cultural/grants/grant-programs/,P1_OFFICIAL,STATE,FL,HTML,14,
Georgia Council for the Arts,https://gaarts.org/what-we-do/grants/,P1_OFFICIAL,STATE,GA,HTML,14,
Mass Cultural Council,https://massculturalcouncil.org/,P1_OFFICIAL,STATE,MA,HTML,14,Homepage - locate grants page
Arizona Commission on the Arts,https://azarts.gov/grants,P1_OFFICIAL,STATE,AZ,HTML,14,
ArtsWA,https://arts.wa.gov/art-project-grant,P1_OFFICIAL,STATE,WA,HTML,14,
Colorado Creative Industries,https://oedit.colorado.gov/colorado-creative-industries,P1_OFFICIAL,STATE,CO,HTML,14,Homepage - locate grants page
